data,produto,quantidade,valor
2026-07-18,Calca Jeans Skinny,2,315.56
2026-07-18,Calca Jeans Skinny,1,155.63
2026-07-18,Saia Midi Plissada,4,343.08
2026-07-18,Jaqueta Corta-Vento,1,171.35
2026-07-18,Jaqueta Corta-Vento,1,178.7
2026-07-18,Bermuda Moletom,1,93.79
2026-07-19,Camiseta Basica Algodao,3,151.65
2026-07-19,Blusa de Frio Trico,1,100.14
2026-07-19,Blusa de Frio Trico,1,113.88
2026-07-19,Camisa Social Slim,1,107.24
2026-07-19,Blusa de Frio Trico,4,432.76
2026-07-19,Short Jeans Feminino,2,163.82
2026-07-20,Bermuda Moletom,4,335.4
2026-07-20,Saia Midi Plissada,3,248.37
2026-07-20,Jaqueta Corta-Vento,1,149.42
2026-07-20,Camisa Social Slim,2,239.84
2026-07-20,Saia Midi Plissada,4,333.44
2026-07-20,Camisa Social Slim,3,291.51
2026-07-20,Jaqueta Corta-Vento,3,557.25
2026-07-21,Bermuda Moletom,3,259.71
2026-07-21,Moletom Canguru Unissex,2,250.08
2026-07-21,Short Jeans Feminino,4,306.24
2026-07-21,Jaqueta Corta-Vento,4,700.44
2026-07-22,Camisa Social Slim,1,93.62
2026-07-22,Jaqueta Corta-Vento,4,713.32
2026-07-22,Bermuda Moletom,3,252.3
2026-07-22,Moletom Canguru Unissex,3,436.29
2026-07-22,Moletom Canguru Unissex,3,423.03
2026-07-23,Bermuda Moletom,3,232.32
2026-07-23,Calca Jeans Skinny,2,237.66
2026-07-23,Moletom Canguru Unissex,2,262.78
2026-07-23,Camisa Social Slim,3,356.64
2026-07-23,Moletom Canguru Unissex,3,536.19
2026-07-24,Bermuda Moletom,2,161.46
2026-07-24,Bermuda Moletom,1,91.14
2026-07-24,Vestido Floral Verao,3,276.54
2026-07-25,Moletom Canguru Unissex,3,485.25
2026-07-25,Vestido Floral Verao,4,380.12
2026-07-26,Saia Midi Plissada,3,266.04
2026-07-26,Camisa Social Slim,3,291.81
2026-07-27,Bermuda Moletom,4,293.28
2026-07-27,Calca Jeans Skinny,4,517.6
2026-07-28,Camiseta Basica Algodao,2,85.76
