data,produto,quantidade,valor
2026-07-18,Calca Jeans Skinny,1,144.39
2026-07-18,Jaqueta Corta-Vento,2,279.34
2026-07-18,Calca Jeans Skinny,1,135.33
2026-07-18,Camiseta Basica Algodao,1,41.77
2026-07-18,Jaqueta Corta-Vento,1,169.19
2026-07-18,Moletom Canguru Unissex,4,532.52
2026-07-18,Saia Midi Plissada,3,306.84
2026-07-18,Camiseta Basica Algodao,2,107.72
2026-07-19,Bermuda Moletom,2,152.72
2026-07-19,Blusa de Frio Trico,1,83.61
2026-07-19,Calca Jeans Skinny,3,452.25
2026-07-19,Saia Midi Plissada,3,306.57
2026-07-19,Camisa Social Slim,1,128.82
2026-07-20,Calca Jeans Skinny,3,448.98
2026-07-20,Saia Midi Plissada,3,278.97
2026-07-20,Calca Jeans Skinny,1,139.58
2026-07-20,Bermuda Moletom,1,95.56
2026-07-20,Calca Jeans Skinny,4,466.32
2026-07-20,Blusa de Frio Trico,2,189.42
2026-07-21,Bermuda Moletom,1,88.17
2026-07-21,Vestido Floral Verao,2,196.14
2026-07-21,Short Jeans Feminino,3,268.77
2026-07-21,Moletom Canguru Unissex,2,321.96
2026-07-22,Camiseta Basica Algodao,2,112.68
2026-07-22,Blusa de Frio Trico,4,362.44
2026-07-22,Jaqueta Corta-Vento,3,434.34
2026-07-22,Camisa Social Slim,4,501.16
2026-07-22,Camisa Social Slim,2,201.0
2026-07-22,Jaqueta Corta-Vento,3,546.57
2026-07-22,Short Jeans Feminino,4,283.04
2026-07-22,Vestido Floral Verao,4,377.8
2026-07-22,Camiseta Basica Algodao,1,42.96
2026-07-23,Short Jeans Feminino,1,71.44
2026-07-23,Saia Midi Plissada,4,364.24
2026-07-23,Moletom Canguru Unissex,1,160.72
2026-07-23,Calca Jeans Skinny,3,438.06
2026-07-24,Calca Jeans Skinny,3,377.97
2026-07-24,Camisa Social Slim,1,128.05
2026-07-24,Bermuda Moletom,2,170.26
2026-07-24,Calca Jeans Skinny,3,451.2
2026-07-24,Moletom Canguru Unissex,2,258.14
2026-07-25,Vestido Floral Verao,1,119.85
2026-07-25,Camisa Social Slim,1,94.37
2026-07-25,Blusa de Frio Trico,3,268.44
2026-07-25,Jaqueta Corta-Vento,1,135.9
2026-07-25,Camisa Social Slim,1,129.02
2026-07-25,Moletom Canguru Unissex,2,255.2
2026-07-25,Camisa Social Slim,2,201.0
2026-07-25,Saia Midi Plissada,4,433.88
2026-07-25,Moletom Canguru Unissex,2,325.36
2026-07-26,Blusa de Frio Trico,4,463.52
2026-07-26,Camisa Social Slim,1,99.82
2026-07-26,Calca Jeans Skinny,3,303.48
2026-07-26,Moletom Canguru Unissex,2,310.42
2026-07-26,Camiseta Basica Algodao,1,54.06
2026-07-26,Camiseta Basica Algodao,2,82.5
2026-07-27,Blusa de Frio Trico,1,100.47
2026-07-27,Bermuda Moletom,4,305.32
2026-07-27,Vestido Floral Verao,4,408.2
2026-07-28,Short Jeans Feminino,2,125.46
2026-07-28,Short Jeans Feminino,3,217.83
2026-07-28,Camisa Social Slim,1,116.83
2026-07-28,Calca Jeans Skinny,1,124.06
2026-07-28,Blusa de Frio Trico,1,89.85
2026-07-28,Jaqueta Corta-Vento,4,558.84
2026-07-29,Bermuda Moletom,4,309.56
2026-07-29,Calca Jeans Skinny,4,593.52
2026-07-29,Moletom Canguru Unissex,1,122.94
2026-07-29,Moletom Canguru Unissex,1,178.04
2026-07-30,Jaqueta Corta-Vento,2,316.7
2026-07-30,Camisa Social Slim,2,248.98
2026-07-30,Camiseta Basica Algodao,2,94.96
2026-07-30,Short Jeans Feminino,3,263.1
2026-07-30,Camisa Social Slim,3,320.46
2026-07-30,Moletom Canguru Unissex,4,516.76
2026-07-30,Bermuda Moletom,2,197.92
2026-07-30,Saia Midi Plissada,1,99.82
2026-07-30,Camiseta Basica Algodao,1,51.58
2026-07-31,Moletom Canguru Unissex,2,246.62
2026-07-31,Moletom Canguru Unissex,1,170.98
2026-07-31,Calca Jeans Skinny,1,140.41
2026-07-31,Jaqueta Corta-Vento,4,553.16
2026-07-31,Saia Midi Plissada,2,186.12
2026-07-31,Camiseta Basica Algodao,1,48.28
2026-07-31,Saia Midi Plissada,3,321.87
2026-08-01,Blusa de Frio Trico,2,181.04
2026-08-01,Vestido Floral Verao,3,338.28
2026-08-01,Calca Jeans Skinny,1,127.4
2026-08-01,Saia Midi Plissada,1,72.83
2026-08-02,Moletom Canguru Unissex,3,383.55
2026-08-02,Blusa de Frio Trico,1,115.07
2026-08-02,Blusa de Frio Trico,3,258.63
2026-08-02,Moletom Canguru Unissex,3,469.8
2026-08-03,Moletom Canguru Unissex,1,159.97
2026-08-03,Moletom Canguru Unissex,3,527.43
2026-08-03,Calca Jeans Skinny,2,231.54
2026-08-03,Calca Jeans Skinny,2,232.48
2026-08-03,Saia Midi Plissada,2,197.2
2026-08-03,Jaqueta Corta-Vento,3,495.84
2026-08-03,Bermuda Moletom,1,72.67
2026-08-03,Short Jeans Feminino,3,183.66
2026-08-03,Blusa de Frio Trico,2,210.76
2026-08-04,Vestido Floral Verao,4,469.92
2026-08-04,Short Jeans Feminino,1,63.26
2026-08-04,Vestido Floral Verao,1,131.63
2026-08-04,Saia Midi Plissada,2,174.18
2026-08-04,Camiseta Basica Algodao,3,141.57
2026-08-05,Camiseta Basica Algodao,3,132.3
2026-08-05,Jaqueta Corta-Vento,1,154.66
2026-08-05,Moletom Canguru Unissex,4,713.32
2026-08-05,Vestido Floral Verao,2,266.26
2026-08-05,Vestido Floral Verao,4,364.56
2026-08-05,Blusa de Frio Trico,4,447.96
2026-08-05,Jaqueta Corta-Vento,3,423.12
2026-08-05,Calca Jeans Skinny,4,608.92
2026-08-05,Camisa Social Slim,2,195.76
2026-08-06,Blusa de Frio Trico,3,338.16
2026-08-06,Jaqueta Corta-Vento,2,263.12
2026-08-06,Jaqueta Corta-Vento,4,611.52
2026-08-06,Calca Jeans Skinny,3,362.91
2026-08-06,Moletom Canguru Unissex,4,642.68
2026-08-06,Moletom Canguru Unissex,3,528.75
2026-08-07,Bermuda Moletom,2,174.64
2026-08-07,Bermuda Moletom,1,73.15
2026-08-07,Short Jeans Feminino,3,245.28
2026-08-08,Short Jeans Feminino,1,71.46
2026-08-08,Saia Midi Plissada,2,160.18
2026-08-08,Short Jeans Feminino,1,75.5
2026-08-08,Moletom Canguru Unissex,2,283.5
2026-08-08,Calca Jeans Skinny,3,411.87
2026-08-09,Calca Jeans Skinny,3,390.99
2026-08-09,Short Jeans Feminino,3,215.91
2026-08-09,Bermuda Moletom,2,151.32
2026-08-09,Short Jeans Feminino,2,156.74
2026-08-09,Bermuda Moletom,4,345.36
2026-08-09,Camiseta Basica Algodao,3,136.92
2026-08-09,Short Jeans Feminino,3,221.55
2026-08-09,Camisa Social Slim,2,220.7
2026-08-10,Vestido Floral Verao,1,104.09
2026-08-10,Saia Midi Plissada,3,220.92
2026-08-10,Jaqueta Corta-Vento,3,436.86
2026-08-10,Jaqueta Corta-Vento,2,263.22
2026-08-10,Jaqueta Corta-Vento,4,690.76
2026-08-10,Calca Jeans Skinny,4,499.08
2026-08-10,Saia Midi Plissada,2,197.26
2026-08-10,Short Jeans Feminino,4,287.56
2026-08-10,Vestido Floral Verao,1,134.53
2026-08-11,Calca Jeans Skinny,4,452.12
2026-08-11,Moletom Canguru Unissex,4,491.64
2026-08-11,Jaqueta Corta-Vento,1,161.85
2026-08-11,Camisa Social Slim,3,383.7
2026-08-11,Camisa Social Slim,4,492.48
2026-08-11,Moletom Canguru Unissex,4,694.92
2026-08-11,Camisa Social Slim,4,401.08
2026-08-11,Jaqueta Corta-Vento,3,550.53
2026-08-11,Moletom Canguru Unissex,4,630.0
2026-08-12,Camisa Social Slim,1,118.44
2026-08-12,Jaqueta Corta-Vento,3,460.23
2026-08-12,Moletom Canguru Unissex,1,128.2
2026-08-12,Jaqueta Corta-Vento,4,713.92
2026-08-12,Jaqueta Corta-Vento,1,158.94
2026-08-13,Moletom Canguru Unissex,4,579.4
2026-08-13,Jaqueta Corta-Vento,4,628.64
2026-08-13,Saia Midi Plissada,1,104.17
2026-08-13,Saia Midi Plissada,4,355.92
2026-08-13,Blusa de Frio Trico,3,330.12
2026-08-14,Short Jeans Feminino,2,149.1
2026-08-14,Bermuda Moletom,4,337.88
2026-08-14,Short Jeans Feminino,3,239.91
2026-08-14,Short Jeans Feminino,2,170.24
2026-08-14,Vestido Floral Verao,1,135.25
2026-08-14,Saia Midi Plissada,1,73.26
2026-08-14,Short Jeans Feminino,2,171.82
2026-08-14,Vestido Floral Verao,1,102.91
2026-08-14,Blusa de Frio Trico,2,196.18
2026-08-15,Short Jeans Feminino,3,247.38
2026-08-15,Short Jeans Feminino,3,254.85
2026-08-15,Camisa Social Slim,1,119.86
2026-08-15,Camiseta Basica Algodao,3,133.14
2026-08-15,Calca Jeans Skinny,1,145.15
2026-08-16,Jaqueta Corta-Vento,1,173.39
2026-08-16,Jaqueta Corta-Vento,2,326.1
2026-08-16,Calca Jeans Skinny,2,255.6
2026-08-16,Bermuda Moletom,3,224.79
